Issue Type,Labels,Labels,Labels,Custom field (Version),Custom field (Version),Summary,Description,Custom field (Steps to Reproduce),Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated
Bug,withdraw,,,V1.0,,ATM withdraws incorrect amounts different from what the user entered,"The system does not correctly process withdrawal amounts, leading to incorrect deductions from user accounts. The issue occurs across different account types and withdrawal values. Observed cases include:

* The app withdraws *$20* when the user enters *$200*
* The app withdraws *$100* when the user enters *$200*
* The app withdraws *$60* when the user enters *$100*
* The app withdraws *$60* when the user selects *$40*
* The app withdraws *$40* when the user selects *$20*

*Expected Outcome:*
The system should withdraw the exact amount specified by the user.

*Actual Outcome:*
The system withdraws a different amount than what was entered, leading to incorrect deductions.

*Fixed in version 1.1*","Initial state: The system is dispensing the withdrawal amount

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter the PIN e.g. 42
* Choose transaction type Withdrawal
* Select the account to withdraw from (chequing/savings/money market).
* Select an amount to withdraw by choosing from option 1,2,3,4 and 5",Vitalis Ibuchukwu Ayogu,712020:762e9ee8-fefe-4aae-bcce-cb9cdfd58803,Highest,Done,Done,03/Feb/25 10:12 PM,03/Feb/25 10:20 PM
Bug,Deposit,,,V1.1,,Deposit amount is reduced by $0.10 from the entered value.,"When a user deposits money, the system deducts *$0.10* from the entered deposit amount. For example, if a user deposits *$100*, the account balance reflects only *$99.90*, instead of the full deposited amount.

*Expected Outcome:*
The full deposit amount entered by the user should be credited to their account (e.g., depositing *$100* should increase the balance by *$100*).

*Actual Outcome:*
The system deducts *$0.10*, showing a balance increase of *$99.90* instead of *$100*.","Initial state: The system is requesting that the customer insert an envelope

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter the PIN e.g. 42
* Choose transaction type(Withdrawal/ Deposit/Transfer/Balance Inquiry)
* Select deposit
* Select account to deposit(checking/saving/money market)
* Enter amount to deposit e.g. $100 and click enter
* Click on the insert envelope button",Daniel Ikponmwen,712020:1afd8e89-a3a7-43a2-9c7a-1243513ff5a2,High,To Do,,03/Feb/25 9:27 PM,03/Feb/25 10:26 PM
Bug,transfer,withdraw,,V1.1,,"Missing dollar sign ($) for ""$60"" on the Select Amount screen.","On the *Select Amount* screen, the withdrawal/transfer options display amounts inconsistently. While most amounts include a *dollar sign ($)*, the *$60 option is missing it*, appearing as *""60""* instead of *""$60""*.

*Expected Outcome:*
All amounts should consistently display with a dollar sign (e.g., *""$60""*).

*Actual Outcome:*
The *$60 option* appears without the dollar sign, leading to an inconsistent display format.","Initial state: System is displaying menu of dollar amounts

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter the PIN e.g. 42
* Choose transaction type(Withdrawal/ Deposit/Transfer/Balance Inquiry)
* Select the account to withdraw from (chequing/savings/money market).",Oreoluwa Lana,712020:9a270712-bca5-4d75-a67b-ab0965f2c5fa,Low,In Progress,,03/Feb/25 9:13 PM,03/Feb/25 10:28 PM
Bug,cancel,,,V1.0,,"Typo in prompt after cancellation: ""Wood"" instead of ""Would.""","After a user cancels a transaction, the system displays a prompt with a typo:
_""Wood you like to do another transaction""_ instead of _""Would you like to do another transaction.""_

*Expected Outcome:*
The prompt should correctly read: _""Would you like to do another transaction?""_

*Actual Outcome:*
The prompt incorrectly displays _""Wood you like to do another transaction?""_ containing a spelling mistake in ""Would.""

Fixed in Version 1.1","Initial state: The system is displaying a menu of dollar amounts

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter the PIN e.g. 42
* Choose transaction type(Withdrawal/ Deposit/Transfer/Balance Inquiry)
* Select the account to withdraw from (chequing/savings/money market).
* Cancel the transaction by selecting 'cancel'",Vitalis Ibuchukwu Ayogu,712020:762e9ee8-fefe-4aae-bcce-cb9cdfd58803,Low,Done,Done,03/Feb/25 9:09 PM,03/Feb/25 10:38 PM
Bug,Incorrect-PIN,,,V1.0,,ATM screen freezes when a non-existent card is entered.,"When a user enters a card number that is not registered in the system (e.g., Card 3) along with any PIN, the screen becomes unresponsive. The user is unable to cancel, retry, or log out, effectively getting stuck in the ATM interface.

*Expected Outcome:*
The system should display an error message indicating that the card is invalid and allow the user to retry or exit.

*Actual Outcome:*
The screen freezes, preventing the user from taking any further action.

*Fixed in version 1.1*","Initial state: The system is asking for entry of PIN

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter a non-existent card number e.g. 3, 4 any number
* Enter a random PIN e.g. 45, 678",Daniel Ikponmwen,712020:1afd8e89-a3a7-43a2-9c7a-1243513ff5a2,High,Done,Done,03/Feb/25 8:55 PM,03/Feb/25 10:42 PM
Bug,withdraw,,,V1.0,,ATM screen freezes after an insufficient balance error during withdrawal,"When a user attempts to withdraw an amount greater than their account balance, the system correctly displays an ""Insufficient Funds"" error. However, after this error appears, the screen becomes unresponsive, preventing the user from taking any further actions.

*Expected Outcome:*
After displaying the ""Insufficient Funds"" error, the system should allow the user to enter a new amount or cancel the transaction.

*Actual Outcome:*
The screen freezes, leaving the user unable to proceed or exit the transaction.

*Fixed in Version 1.1*","Initial state: System is displaying menu of dollar amounts

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter the PIN e.g. 42
* Choose transaction type(Withdrawal/ Deposit/Transfer/Balance Inquiry)
* Select the account to withdraw from (chequing/savings/money market).
* Select an amount greater than the balance ",Vitalis Ibuchukwu Ayogu,712020:762e9ee8-fefe-4aae-bcce-cb9cdfd58803,Medium,Done,Done,03/Feb/25 8:22 PM,03/Feb/25 10:46 PM
Bug,Incorrect-PIN,,,V1.0,V1.1,System requires re-entry of PIN after first incorrect attempt,"The system incorrectly requires an extra PIN entry after a failed attempt, even when the second attempt is correct.

*Bug Description:*
When a user enters an incorrect PIN on the first attempt and then enters a valid PIN on the second attempt, the system does not accept the correct PIN immediately. Instead, it prompts the user to enter the PIN again, causing unnecessary re-entry.

*Expected Outcome:*
The system should accept the correct PIN on the second attempt without requiring an additional entry.

*Actual Outcome:*
The system incorrectly prompts the user to enter the PIN again, even after a valid second attempt.

*Persist on version 1.1*","Initial state: Request to re-enter PIN is being displayed

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter a wrong PIN the first time e.g. 42
* Enter the right PIN on the second try",Daniel Ikponmwen,712020:1afd8e89-a3a7-43a2-9c7a-1243513ff5a2,Medium,In Progress,,03/Feb/25 6:18 PM,03/Feb/25 10:51 PM
Bug,balance-inquiry,,,V1.0,V1.1,Selecting Incorrect Account Types Causes Errors and Unexpected Transactions,"Selecting an incorrectly displayed account type causes errors, unintended deposits, and incorrect balance displays.

*Description:*

* For *Card 1*, selecting the incorrectly displayed ""Money Market"" account throws an unknown error, deposits *$500*, and displays the balance for the *Savings* account.
* For *Card 2*, selecting the correctly displayed ""Money Market"" account throws an *invalid account type* error.

*Expected Outcome:*
Users should only be able to select and view balances for the accounts they own.

*Actual Outcome:*
Selecting an incorrect account type results in errors, unintended deposits, and incorrect balance displays.

Persist in Version1.1","Initial state: Menu of transaction types is being displayed

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter the PIN e.g. 42
* Choose transaction type Balance Inquiry
* Select the account to inquire about for card 1, select Money Market",Oreoluwa Lana,712020:9a270712-bca5-4d75-a67b-ab0965f2c5fa,High,In Progress,,03/Feb/25 5:58 PM,03/Feb/25 9:55 PM
Bug,balance-inquiry,,,V1.0,V1.1,Incorrect Account Types Displayed in Balance Inquiry,"The Balance Inquiry screen incorrectly displays default account types (""Checkin"" and ""Money Market"") for all users, even if they do not own these accounts.

* Users see a default set of account types instead of only their actual accounts.
* For *Card 1* (which has ""Checkin"" and ""Savings""), ""Money Market"" is incorrectly shown.
* For *Card 2* (which has ""Checkin"" and ""Money Market""), the correct accounts are displayed.

*Expected Outcome:*
Users should only see the account types they actually own.

*Actual Outcome:*
Users see incorrect account types on the Balance Inquiry screen, leading to confusion and potential errors.

*Persist on Version1.1*","Initial state: Menu of transaction types is being displayed

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter the PIN e.g. 42
* Choose transaction type Balance Inquiry
* Select the account to inquire about ",Oreoluwa Lana,712020:9a270712-bca5-4d75-a67b-ab0965f2c5fa,High,In Progress,,03/Feb/25 5:55 PM,03/Feb/25 11:30 PM
Bug,account-display,login,,V1.0,,The app incorrectly deducts $0.50 from every transfer and reflects it on the receipt.,"Whenever a user makes a transfer, the app deducts an additional $0.50 from the transaction amount and displays this deduction on the receipt.

*Expected Outcome:*
The app should transfer the exact amount specified by the user, and the receipt should accurately reflect the transferred amount.

*Actual Outcome:*
The app deducts an extra $0.50 from the transfer amount and displays this deduction on the receipt.

*Fixed in Version1.1*","Initial state: The system ask the amount to tranfer to

* Turn on the machine
* Select no of bills in the machine
* Click Insert Card and enter the card number e.g. 1
* Enter the PIN e.g. 42
* Choose transaction type(Withdrawal/ Deposit/Transfer/Balance Inquiry)
* Select the account to transfer from (chequing/savings/money market).
* Select the account to transfer to (chequing/savings/money market).
* Enter an amount, press enter",Oreoluwa Lana,712020:9a270712-bca5-4d75-a67b-ab0965f2c5fa,Highest,Done,Done,03/Feb/25 5:20 PM,03/Feb/25 11:47 PM
